Netbeheerder;Klanttype;Contracttype;Tarieftype;Tariefdetail;Tariefnotering;Prijs
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.4701054
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;41.6412648
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.7370841
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;56.8450092
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;5.2051582
FA;ELEK_HS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;62.4618984
FA;ELEK_HS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FA;ELEK_HS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_HS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0004587
FA;ELEK_HS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000282
FA;ELEK_HS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FA;ELEK_HS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_HS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;2.8048556
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;33.6582672
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.5252978
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;54.3035736
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.2072833
FA;ELEK_HS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;50.4873996
FA;ELEK_HS2;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FA;ELEK_HS2;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_HS2;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0038921
FA;ELEK_HS2;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0002446
FA;ELEK_HS2;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.1508082
FA;ELEK_HS2;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_HS2;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;3.4701054
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;41.6412648
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.7370841
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;56.8450092
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;5.2051582
FA;ELEK_MS1;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;62.4618984
FA;ELEK_MS1;Afname;Tarieven voor de aanvullende afname van reactieve energie;Tarief voor overschrijding forfaitair toegelaten hoeveelheid;EUR/kVArh;0.0134149
FA;ELEK_MS1;Afname;Tarieven voor het databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_MS1;Afname;Tarieven voor de openbaredienstverplichtingen;kWh-tarief normaal;EUR/kWh;0.0004587
FA;ELEK_MS1;Afname;Tarieven voor de toeslagen;Tarieven voor de toeslagen;EUR/kWh;0.0000282
FA;ELEK_MS1;Afname;Maximumtarief;Maximumtarief;EUR/kWh;0.0596319
FA;ELEK_MS1;Injectie;Tarief voor het netgebruik;Tarief voor het netgebruik;EUR/kWh;0.0017510
FA;ELEK_MS1;Injectie;Tarief databeheer;26-36 kV, 1-26 kV, distributiecabine;EUR/jaar;57.65
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/maand;2.8048556
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Toegangsvermogen;EUR/kVA/jaar;33.6582672
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/maand;4.5252978
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Maandpiek;EUR/kVA/jaar;54.3035736
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/maand;4.2072833
FA;ELEK_MS2;Afname;Tarieven voor netgebruik;Overschrijding toegangsvermogen;EUR/kVA/jaar;50.4873996
