Netbeheerder;Klanttype;Contracttype;Tariefonderdeel;Tariefnotering;Prijs
FA;T1;Afname;Basistarief Vaste Term;EUR/jaar;14.79
FA;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.020533
FA;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;T1;Afname;Databeheer AMR;EUR/jaar;0
FA;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FA;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FA;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0003667
FA;T1;Afname;Pensioenen;EUR/kWh;0.0003405
FA;T1;Afname;Heffingen;EUR/kWh;0.0000467
FA;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FA;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FA;T2;Afname;Basistarief Vaste Term;EUR/jaar;78.51
FA;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0077903
FA;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;T2;Afname;Databeheer AMR;EUR/jaar;0
FA;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FA;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FA;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0003667
FA;T2;Afname;Pensioenen;EUR/kWh;0.0003405
FA;T2;Afname;Heffingen;EUR/kWh;0.0000467
FA;T3;Afname;Basistarief Vaste Term;EUR/jaar;530.78
FA;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0047752
FA;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;T3;Afname;Databeheer AMR;EUR/jaar;0
FA;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FA;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FA;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0003667
FA;T3;Afname;Pensioenen;EUR/kWh;0.0003405
FA;T3;Afname;Heffingen;EUR/kWh;0.0000467
FA;T4;Afname;Basistarief Vaste Term;EUR/jaar;4927.69
FA;T4;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003783
FA;T4;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;T4;Afname;Databeheer AMR;EUR/jaar;0
FA;T4;Afname;Databeheer MMR;EUR/jaar;57.65
FA;T4;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FA;T4;Afname;Openbaredienstverplichting;EUR/kWh;0
FA;T4;Afname;Pensioenen;EUR/kWh;0.0000731
FA;T4;Afname;Heffingen;EUR/kWh;0.00001
FA;T5;Afname;Basistarief Vaste Term;EUR/jaar;0
FA;T5;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003783
FA;T5;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;1,9710771
FA;T5;Afname;Databeheer AMR;EUR/jaar;57.65
FA;T5;Afname;Databeheer MMR;EUR/jaar;0
FA;T5;Afname;Databeheer Jaaropname;EUR/jaar;0
FA;T5;Afname;Openbaredienstverplichting;EUR/kWh;0
FA;T5;Afname;Pensioenen;EUR/kWh;0.0000731
FA;T5;Afname;Heffingen;EUR/kWh;0.00001
FA;T6;Afname;Basistarief Vaste Term;EUR/jaar;0
FA;T6;Afname;Basistarief Proportionele Term;EUR/kWh;0.0003097
FA;T6;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0.4743207
FA;T6;Afname;Databeheer AMR;EUR/jaar;57.65
FA;T6;Afname;Databeheer MMR;EUR/jaar;0
FA;T6;Afname;Databeheer Jaaropname;EUR/jaar;0
FA;T6;Afname;Openbaredienstverplichting;EUR/kWh;0
FA;T6;Afname;Pensioenen;EUR/kWh;0.0000129
FA;T6;Afname;Heffingen;EUR/kWh;0.0000018
FA;LD;Afname;Basistarief Vaste Term;EUR/jaar;0
FA;LD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0007275
FA;LD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;LD;Afname;Databeheer AMR;EUR/jaar;0
FA;LD;Afname;Databeheer MMR;EUR/jaar;0
FA;LD;Afname;Databeheer Jaaropname;EUR/jaar;0
FA;LD;Afname;Openbaredienstverplichting;EUR/kWh;0
FA;LD;Afname;Pensioenen;EUR/kWh;0
FA;LD;Afname;Heffingen;EUR/kWh;0
FA;MD;Afname;Basistarief Vaste Term;EUR/jaar;0
FA;MD;Afname;Basistarief Proportionele Term;EUR/kWh;0.0005387
FA;MD;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FA;MD;Afname;Databeheer AMR;EUR/jaar;0
FA;MD;Afname;Databeheer MMR;EUR/jaar;0
FA;MD;Afname;Databeheer Jaaropname;EUR/jaar;0
FA;MD;Afname;Openbaredienstverplichting;EUR/kWh;0
FA;MD;Afname;Pensioenen;EUR/kWh;0
FA;MD;Afname;Heffingen;EUR/kWh;0
FHV;T1;Afname;Basistarief Vaste Term;EUR/jaar;16.59
FHV;T1;Afname;Basistarief Proportionele Term;EUR/kWh;0.0230382
FHV;T1;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T1;Afname;Databeheer AMR;EUR/jaar;0
FHV;T1;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T1;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T1;Afname;Openbaredienstverplichting;EUR/kWh;0.0002427
FHV;T1;Afname;Pensioenen;EUR/kWh;0.0001994
FHV;T1;Afname;Heffingen;EUR/kWh;0.0000648
FHV;T1;Injectie;Databeheer AMR;EUR/jaar;57.65
FHV;T1;Injectie;Systeembeheer;EUR/kWh;0.000963
FHV;T2;Afname;Basistarief Vaste Term;EUR/jaar;88.09
FHV;T2;Afname;Basistarief Proportionele Term;EUR/kWh;0.0087408
FHV;T2;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T2;Afname;Databeheer AMR;EUR/jaar;0
FHV;T2;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T2;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T2;Afname;Openbaredienstverplichting;EUR/kWh;0.0002427
FHV;T2;Afname;Pensioenen;EUR/kWh;0.0001994
FHV;T2;Afname;Heffingen;EUR/kWh;0.0000648
FHV;T3;Afname;Basistarief Vaste Term;EUR/jaar;595.54
FHV;T3;Afname;Basistarief Proportionele Term;EUR/kWh;0.0053578
FHV;T3;Afname;Basistarief Capaciteit;EUR/maxcap/jaar;0
FHV;T3;Afname;Databeheer AMR;EUR/jaar;0
FHV;T3;Afname;Databeheer MMR;EUR/jaar;57.65
FHV;T3;Afname;Databeheer Jaaropname;EUR/jaar;17.85
FHV;T3;Afname;Openbaredienstverplichting;EUR/kWh;0.0002427
