Postcode;Gemeente;DNB Elektriciteit;DNB Gas;GasType Oud;GasType Nieuw
1540;Herfelingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1652;Alsemberg;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1671;Elingen;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1702;Groot-Bijgaarden;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1730;Asse;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1740;Ternat;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H(L);H
1745;Opwijk;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1755;Leerbeek;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1770;Liedekerke;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1820;Steenokkerzeel;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1831;Diegem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1840;Steenhuffel;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;H;H
1910;Buken;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
1910;Kampenhout;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
1950;Kraainem;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
1982;Elewijt;Fluvius Halle-Vilvoorde;Fluvius Halle-Vilvoorde;L;H
2150;Borsbeek;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2222;Itegem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2235;Westmeerbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2290;Vorselaar;Fluvius Kempen;Fluvius Kempen;L;H
2320;Hoogstraten;Fluvius Kempen;Fluvius Kempen;L;H
2321;Meer;Fluvius Kempen;Fluvius Kempen;L;H
2340;Vlimmeren;Fluvius Kempen;Fluvius Kempen;L;H
2350;Vosselaar;Fluvius Kempen;Fluvius Kempen;L;H
2381;Weelde;Fluvius Kempen;Fluvius Kempen;L;H
2440;Geel;Fluvius Kempen;Fluvius Kempen;L;H
2800;Walem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2840;Rumst;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2880;Bornem;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
2910;Essen;Fluvius Kempen;Fluvius Kempen;L;H
2940;Hoevenen;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2940;Stabroek;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2950;Hoogboom;Fluvius Antwerpen;Fluvius Antwerpen;L;H
2960;Brecht;Fluvius Antwerpen;Fluvius Antwerpen;L;H
3051;Sint-Joris-Weert;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3061;Leefdaal;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3202;Rillaar;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3211;Binkom;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3300;Hakendover;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3320;Meldert (Vl.Br.);Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3321;Outgaarden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3350;Overhespen;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3511;Stokrooie;Fluvius Limburg;Fluvius Limburg;L;H
3530;Houthalen;Fluvius Limburg;Fluvius Limburg;L;H
3540;Berbroek;Fluvius Limburg;Fluvius Limburg;L;H
3545;Zelem;Fluvius Limburg;Fluvius Limburg;L;H
3590;Diepenbeek;Fluvius Limburg;Fluvius Limburg;H;H
3621;Rekem;Fluvius Limburg;Fluvius Limburg;H;H
3630;Leut;Fluvius Limburg;Fluvius Limburg;H;H
3640;Kessenich;Fluvius Limburg;Fluvius Limburg;H;H
3650;Elen;Fluvius Limburg;Fluvius Limburg;H;H
3790;Sint-Martens-Voeren/Fouron-Saint-Martin;Fluvius Limburg;;H;Niet Fluvius
3800;Ordingen;Fluvius Limburg;Fluvius Limburg;H;H
3840;Hoepertingen;Fluvius Limburg;Fluvius Limburg;H;H
3840;Jesseren (Kolmont);Fluvius Limburg;Fluvius Limburg;H;H
3840;Bommershoven;Fluvius Limburg;Fluvius Limburg;H;H
3870;Heers;Fluvius Limburg;Fluvius Limburg;H;H
3870;Heks;Fluvius Limburg;Fluvius Limburg;H;H
3890;Niel-bij-Sint-Truiden;Fluvius Limburg;Fluvius Limburg;L;H
3920;Stevensvennen;Fluvius Limburg;Fluvius Limburg;L;H
3960;Bree;Fluvius Limburg;Fluvius Limburg;H;H
3960;Opitter;Fluvius Limburg;Fluvius Limburg;H;H
3990;Wijchmaal;Fluvius Limburg;Fluvius Limburg;H;H
8000;Brugge;Fluvius Imewo;Fluvius Imewo;H;H
8300;Knokke;Fluvius Imewo;Fluvius Imewo;H;H
8310;Sint-Kruis;Fluvius Imewo;Fluvius Imewo;H;H
8377;Nieuwmunster;Fluvius Imewo;Fluvius Imewo;H;H
8432;Leffinge;Fluvius West;Fluvius West;H;H
8470;Snaaskerke;Fluvius West;Fluvius West;H;H
8490;Zerkegem;Fluvius Imewo;Fluvius Imewo;H;H
8551;Heestert;Fluvius West;Fluvius West;H;H
8582;Outrijve;Fluvius West;Fluvius West;H;H
8587;Spiere/Espierres;Fluvius West;Fluvius West;H;H
8600;Beerst;Fluvius West;Fluvius West;H;H
8600;Oostkerke (Diksmuide);Fluvius West;Fluvius West;H;H
8610;Handzame;Fluvius West;Fluvius West;H;H
8620;Nieuwpoort;Fluvius West;Fluvius West;H;H
8620;Ramskapelle (Nieuwpoort);Fluvius West;Fluvius West;H;H
8630;Bulskamp;Fluvius West;Fluvius West;H;H
8660;Adinkerke;Fluvius West;Fluvius West;H;H
8670;Koksijde;Fluvius West;Fluvius West;H;H
8680;Koekelare;Fluvius West;Fluvius West;H;H
8690;Alveringem;Fluvius West;Fluvius West;H;H
8691;Beveren-aan-den-Ijzer;Fluvius West;Fluvius West;H;H
8700;Aarsele;Fluvius West;Fluvius West;H;H
8810;Lichtervelde;Fluvius Imewo;Fluvius Imewo;H;H
8900;Ieper;Fluvius West;Fluvius West;H;H
8906;Elverdinge;Fluvius West;Fluvius West;H;H
8930;Lauwe;Fluvius West;Fluvius West;H;H
8930;Rekkem;Fluvius West;Fluvius West;H;H
8952;Wulvergem;Fluvius West;Fluvius West;H;H
8953;Wijtschate;Fluvius West;Fluvius West;H;H
8954;Westouter;Fluvius West;Fluvius West;H;H
8956;Kemmel;Fluvius West;Fluvius West;H;H
8972;Proven;Fluvius West;Fluvius West;H;H
8972;Roesbrugge-Haringe;Fluvius West;Fluvius West;H;H
9000;Gent;Fluvius Imewo;Fluvius Imewo;H;H
9032;Wondelgem;Fluvius Imewo;Fluvius Imewo;H;H
9042;Mendonk;Fluvius Imewo;Fluvius Imewo;H;H
9050;Ledeberg;Fluvius Imewo;Fluvius Imewo;H;H
9060;Zelzate;Fluvius Imewo;Fluvius Imewo;H;H
9120;Haasdonk;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9130;Doel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9150;Rupelmonde;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9160;Lokeren;Fluvius Imewo;Fluvius Imewo;H;H
9190;Kemzeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9220;Hamme (O.-Vl.);Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9230;Wetteren;Fluvius Imewo;Fluvius Imewo;H;H
9270;Laarne;Fluvius Imewo;Fluvius Imewo;H;H
9290;Berlare;Fluvius Imewo;Fluvius Imewo;H;H
9340;Impe;Fluvius Imewo;Fluvius Imewo;H;H
9400;Voorde;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9420;Vlekkem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9500;Viane;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9520;Bavegem;Fluvius Imewo;Fluvius Imewo;H;H
9550;Herzele;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9550;Hillegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9550;Sint-Antelinks;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9600;Ronse/Renaix;Fluvius West;Fluvius West;H;H
9630;Beerlegem;Fluvius West;Fluvius West;H;H
9660;Elst;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9660;Opbrakel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9660;Zegelsem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9700;Mater;Fluvius West;Fluvius West;H;H
9700;Volkegem;Fluvius West;Fluvius West;H;H
9750;Huise;Fluvius West;Fluvius West;H;H
9870;Machelen (O.-Vl.);Fluvius West;Fluvius West;H;H
9971;Lembeke;Fluvius Imewo;Fluvius Imewo;H;H
9981;Sint-Margriete;Fluvius Imewo;Fluvius Imewo;H;H
2980;Halle (Kempen);Fluvius Antwerpen;Fluvius Antwerpen;L;H
2990;Wuustwezel;Fluvius Kempen;Fluvius Kempen;L;H
3001;Heverlee;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3040;Neerijse;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3050;Oud-Heverlee;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3054;Vaalbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3078;Meerbeek;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3210;Linden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3220;Kortrijk-Dutsel;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3221;Nieuwrode;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3290;Diest;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3400;Ezemaal;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3401;Waasmont;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3404;Neerlanden;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3470;Ransberg;Fluvius Zenne-Dijle;Fluvius Zenne-Dijle;L;H
3511;Kuringen;Fluvius Limburg;Fluvius Limburg;H;H
3630;Vucht;Fluvius Limburg;Fluvius Limburg;H;H
3640;Ophoven;Fluvius Limburg;Fluvius Limburg;H;H
3670;Neerglabbeek;Fluvius Limburg;Fluvius Limburg;H;H
3700;Piringen (Haren);Fluvius Limburg;Fluvius Limburg;H;H
3700;Riksingen;Fluvius Limburg;Fluvius Limburg;H;H
3717;Herstappe;Fluvius Limburg;Fluvius Limburg;H;H
3730;Hoeselt;Fluvius Limburg;Fluvius Limburg;H;H
3740;Mopertingen;Fluvius Limburg;Fluvius Limburg;H;H
3770;Herderen;Fluvius Limburg;Fluvius Limburg;H;H
3770;Millen;Fluvius Limburg;Fluvius Limburg;H;H
3770;Vroenhoven;Fluvius Limburg;Fluvius Limburg;H;H
3790;Moelingen/Mouland;Fluvius Limburg;;H;Niet Fluvius
3790;Voeren/Fourons;Fluvius Limburg;;H;Niet Fluvius
3800;Halmaal;Fluvius Limburg;Fluvius Limburg;H;H
3800;Kerkom-bij-Sint-Truiden;Fluvius Limburg;Fluvius Limburg;H;H
3800;Zepperen;Fluvius Limburg;Fluvius Limburg;H;H
3800;Sint-Truiden;Fluvius Limburg;Fluvius Limburg;L;H
3830;Berlingen;Fluvius Limburg;Fluvius Limburg;H;H
3832;Ulbeek;Fluvius Limburg;Fluvius Limburg;H;H
3840;Broekom;Fluvius Limburg;Fluvius Limburg;H;H
3870;Batsheers;Fluvius Limburg;Fluvius Limburg;L;H
3870;Gutschoven;Fluvius Limburg;Fluvius Limburg;H;H
3870;Mettekoven;Fluvius Limburg;Fluvius Limburg;H;H
3890;Montenaken;Fluvius Limburg;Fluvius Limburg;L;H
3891;Muizen (Limb.);Fluvius Limburg;Fluvius Limburg;L;H
3960;Beek;Fluvius Limburg;Fluvius Limburg;H;H
8020;Hertsberge;Fluvius Imewo;Fluvius Imewo;H;H
8210;Veldegem;Fluvius Imewo;Fluvius Imewo;H;H
8340;Hoeke;Fluvius Imewo;Fluvius Imewo;H;H
8340;Lapscheure;Fluvius Imewo;Fluvius Imewo;H;H
8400;Zandvoorde (Oostende);Fluvius Imewo;Fluvius Imewo;H;H
8434;Westende;Fluvius West;Fluvius West;H;H
8460;Oudenburg;Fluvius West;Fluvius West;H;H
8470;Moere;Fluvius West;Fluvius West;H;H
8510;Kooigem;Fluvius West;Fluvius West;H;H
8520;Kuurne;Fluvius West;Fluvius West;H;H
8550;Zwevegem;Fluvius West;Fluvius West;H;H
8570;Anzegem;Fluvius West;Fluvius West;H;H
8600;Woumen;Fluvius West;Fluvius West;H;H
8610;Zarren;Fluvius West;Fluvius West;H;H
8630;Vinkem;Fluvius West;Fluvius West;H;H
8630;Zoutenaaie;Fluvius West;Fluvius West;H;H
8640;Westvleteren;Fluvius West;Fluvius West;H;H
8650;Klerken;Fluvius West;Fluvius West;H;H
8800;Oekene;Fluvius West;Fluvius West;H;H
8840;Staden;Fluvius West;Fluvius West;H;H
8840;Westrozebeke;Fluvius West;Fluvius West;H;H
8908;Vlamertinge;Fluvius West;Fluvius West;H;H
8920;Bikschote;Fluvius West;Fluvius West;H;H
8978;Watou;Fluvius West;Fluvius West;H;H
8980;Geluveld;Fluvius West;Fluvius West;H;H
9042;Sint-Kruis-Winkel;Fluvius Imewo;Fluvius Imewo;H;H
9090;Gontrode;Fluvius Imewo;Fluvius Imewo;H;H
9120;Melsele;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9120;Beveren (Waas);Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9150;Kruibeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9160;Daknam;Fluvius Imewo;Fluvius Imewo;H;H
9180;Moerbeke (Waas);Fluvius Imewo;Fluvius Imewo;H;H
9230;Massemen;Fluvius Imewo;Fluvius Imewo;H;H
9250;Waasmunster;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9280;Lebbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9310;Baardegem;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9400;Nederhasselt;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9470;Denderleeuw;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9506;Schendelbeke;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9520;Sint-Lievens-Houtem;Fluvius Imewo;Fluvius Imewo;H;H
9572;Sint-Martens-Lierde;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9620;Elene;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
9630;Roborst;Fluvius West;Fluvius West;H;H
9636;Nederzwalm-Hermelgem;Fluvius West;Fluvius West;H;H
9660;Nederbrakel;Fluvius Midden-Vlaanderen;Fluvius Midden-Vlaanderen;H;H
