Jaar;Maand;Segment;Energietype;Contracttype;Handelsnaam;Productnaam;Variabel/Dynamisch;Prijsonderdeel;Indexatieparameter A (a.A + b.B + c.C + d.D + z);Beschrijving A;Waarde A (�/MWh) - VNR waarde;Waarde A (�/MWh) - laatst gekende waarde;Indexatieparameter B (a.A + b.B + c.C + d.D + z);Beschrijving B;Waarde B (�/MWh) - VNR waarde;Waarde B (�/MWh) - laatst gekende waarde;Indexatieparameter C (a.A + b.B + c.C + d.D + z);Beschrijving C;Waarde C (�/MWh) - VNR waarde;Waarde C (�/MWh) - laatst gekende waarde;Indexatieparameter D (a.A + b.B + c.C + d.D + z);Beschrijving D;Waarde D (�/MWh) - VNR waarde;Waarde D (�/MWh) - laatst gekende waarde;a;b;c;d;z;Prijs;source_file;Waarde A (€/MWh) - VNR waarde;Waarde A (€/MWh) - laatst gekende waarde;Waarde B (€/MWh) - VNR waarde;Waarde B (€/MWh) - laatst gekende waarde;Waarde C (€/MWh) - VNR waarde;Waarde C (€/MWh) - laatst gekende waarde;Waarde D (€/MWh) - VNR waarde;Waarde D (€/MWh) - laatst gekende waarde
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Enkelvoudige meter dagtarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,12;;;;0,4;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Kosten groene stroom (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;1,11;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Kosten WKK (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;0,4;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Tweevoudige meter dagtarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,12;;;;0,4;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Tweevoudige meter nachttarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,12;;;;0,4;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Uitsluitend nachtmeter (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,12;;;;0,4;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;Flex Online Pro EL;Variabel;Vaste vergoeding (�);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;75;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Enkelvoudige meter dagtarief (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);0,1;;;;1,22;;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Kosten groene stroom (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;1,11;master_var_dyn_2026.csv;;;;;;;;
2026;jan;Onderneming;Elektriciteit;Afname;Belvus;SmartPlus Pro EL;Variabel;Kosten WKK (c�/kWh);M EPEX Spot Belgium/Belpex RLP_BE (uur);Gewogen gemiddelde van de uurnoteringen BE day ahead per maand. Weging o.b.v. het gemiddelde van RLP0N profielen van alle Belgische netgebieden. Bron: EPEX Spot/Belpex;83,36877;87,22798;(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);(Empty);;;;;;0,4;master_var_dyn_2026.csv;;;;;;;;
